video_name,category,init_val,final_val,attributes,delay
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,9.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.44669999998807874
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,unset,unset,['unset'],unset
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,unset,unset,['unset'],unset
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,unset,unset,['unset'],unset
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,unset,unset,['unset'],unset
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,unset,unset,['unset'],unset
